title,author,year,press,price,category
神奇校车·桥梁书版（全20册）,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,2014,贵州人民出版社,150.0,童书
小熊和最好的爸爸（全7册）,（荷）阿兰德·丹姆  著，（荷）亚历克斯·沃尔夫  绘，漆仰平，爱桐  译,2007,贵州人民出版社,35.0,童书
少年读史记（套装全5册）,张嘉骅,2015,青岛出版社,100.0,童书
神奇校车·动画版（全10册）,"作者:乔安娜柯尔 著,布鲁斯迪根 绘 , 漆仰平 译",2011,贵州人民出版社,118.0,童书
一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,歪歪兔关键期早教 项目组编绘,2019,海豚出版社,128.0,童书
神奇校车·图画书版（全12册，新增科学博览会1册）,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",2018,贵州人民出版社,198.0,童书
宫西达也超级绘本（加法超人与算术星人+狐狸爸爸笑了等全11册）,[日]宫西达也,2019,青岛出版社,186.0,童书
皮特猫·3~6岁好性格养成书：第一辑（套装共6册）（乐观、积极、开朗……荣获19项大奖的好性格榜样，在美国家喻户晓）,[美]艾瑞克·利温、[美]詹姆斯·迪安 著；彭懿、杨玲玲 译；读客文化 出品,2018,文汇出版社,139.9,童书
神奇的专注力训练游戏书(迷宫大冒险、数字大爆炸、图形大猜想、综合训练营 全四册),贝基·威尔逊 克莱尔·西皮 苏珊·费尔布拉泽 ，阳光博客 出品,2016,贵州教育出版社,138.0,童书
米小圈上学记一年级（套装共4册）,北猫,2018,四川少儿出版社,100.0,童书
我们的身体,[法]艾德兰  文，[法]巴尔博里尼  绘，荣信教育  出品,2012,未来出版社,155.0,童书
斯凯瑞金色童书·忙忙碌碌的一天（全3册）,（美）斯凯瑞  著，谢旭华  译,2007,贵州人民出版社,18.0,童书
信谊世界精选图画书·猜猜我有多爱你,[英]麦克布雷尼 编文；[英]婕朗 绘；梅子涵 译,2018,明天出版社,38.8,童书
窗边的小豆豆(2018版),（日）黑柳彻子， 爱心树童书  出品,2018,南海出版公司,39.5,童书
DK幼儿百科全书——那些重要的事,英国DK公司,2017,中国大百科全书出版社,138.0,童书
我的神奇马桶（奇思妙趣三部曲）（全3册）,[日] 铃木典丈/著   彭懿/译,2019,贵州人民出版社,89.4,童书
我爸爸+我妈妈（全2册）——清华附小推荐经典儿童绘本 ！（启发童书馆出品）,〔英〕安东尼?布朗,2019,河北教育出版社,79.6,童书
斯凯瑞金色童书·益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金色童书·第一辑）,【美】理查德·斯凯瑞  著 李晓平  等译,2019,贵州人民出版社,98.0,童书
